season_end_year,date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,b365h,b365d,b365a,bbavh,bbavd,bbava,psh,psd,psa,o_h,o_d,o_a,imp_h_raw,imp_d_raw,imp_a_raw,overround,p_home,p_draw,p_away
2018,2017-09-10,burnley,crystal palace,1,0,0.3,2,2.3,3.25,3.5,NA,NA,NA,2.36,3.23,3.48,2.3,3.25,3.5,0.4347826086956522,0.3076923076923077,0.2857142857142857,1.0281892021022456,0.4228624535315985,0.2992565055762082,0.2778810408921933
2018,2017-09-10,swansea,newcastle,0,1,1.2,1,2.4,3.25,3.3,NA,NA,NA,2.41,3.28,3.32,2.4,3.25,3.3,0.4166666666666667,0.3076923076923077,0.30303030303030304,1.0273892773892774,0.4055587067498582,0.29948950652297224,0.2949517867271696
2018,2017-09-11,west ham,huddersfield,2,0,1.7,0.4,1.95,3.5,4.5,NA,NA,NA,1.97,3.46,4.46,1.95,3.5,4.5,0.5128205128205129,0.2857142857142857,0.2222222222222222,1.0207570207570207,0.5023923444976077,0.2799043062200957,0.21770334928229665
2018,2017-09-15,bournemouth,brighton,2,1,1.2,0.9,2.15,3.4,3.8,NA,NA,NA,2.17,3.44,3.74,2.15,3.4,3.8,0.46511627906976744,0.29411764705882354,0.2631578947368421,1.022391820865433,0.45492957746478874,0.2876760563380282,0.2573943661971831
2018,2017-09-16,crystal palace,southampton,0,1,2,1,3,3.3,2.6,NA,NA,NA,2.99,3.32,2.6,3,3.3,2.6,0.3333333333333333,0.30303030303030304,0.3846153846153846,1.0209790209790208,0.3264840182648402,0.29680365296803657,0.3767123287671233
2018,2017-09-16,newcastle,stoke,2,1,2,0.7,2.38,3.25,3.4,NA,NA,NA,2.37,3.23,3.46,2.38,3.25,3.4,0.42016806722689076,0.3076923076923077,0.29411764705882354,1.0219780219780221,0.4111321948134092,0.30107526881720426,0.28779253636938645
2018,2017-09-16,huddersfield,leicester,1,1,0.7,1.3,3.5,3.4,2.25,NA,NA,NA,3.46,3.42,2.28,3.5,3.4,2.25,0.2857142857142857,0.29411764705882354,0.4444444444444444,1.0242763772175536,0.2789425706472197,0.2871467639015497,0.43391066545123064
2018,2017-09-16,liverpool,burnley,1,1,2.2,0.2,1.29,6,13,NA,NA,NA,1.27,6.3,13.45,1.29,6,13,0.7751937984496123,0.16666666666666666,0.07692307692307693,1.0187835420393558,0.7609013754755634,0.16359379572724614,0.07550482879719053
2018,2017-09-16,west brom,west ham,0,0,0.7,0.3,2.38,3.25,3.4,NA,NA,NA,2.36,3.27,3.43,2.38,3.25,3.4,0.42016806722689076,0.3076923076923077,0.29411764705882354,1.0219780219780221,0.4111321948134092,0.30107526881720426,0.28779253636938645
2018,2017-09-16,watford,man city,0,6,0.5,3.3,9,6,1.33,NA,NA,NA,9.83,5.64,1.35,9,6,1.33,0.1111111111111111,0.16666666666666666,0.7518796992481203,1.0296574770258982,0.10791075050709938,0.16186612576064907,0.7302231237322514
2018,2017-09-16,tottenham,swansea,0,0,1.1,0.2,1.22,7,15,NA,NA,NA,1.25,6.7,14,1.22,7,15,0.819672131147541,0.14285714285714285,0.06666666666666667,1.0291959406713505,0.7964199029126214,0.13880461165048544,0.06477548543689321
2018,2017-09-17,chelsea,arsenal,0,0,0.8,1.4,1.8,4,4.5,NA,NA,NA,1.81,4.02,4.57,1.8,4,4.5,0.5555555555555556,0.25,0.2222222222222222,1.0277777777777777,0.5405405405405406,0.24324324324324326,0.21621621621621623
2018,2017-09-17,man united,everton,4,0,2.9,1.1,1.36,5.25,10,NA,NA,NA,1.35,5.3,10.93,1.36,5.25,10,0.7352941176470588,0.19047619047619047,0.1,1.0257703081232492,0.7168214090660842,0.18569087930092845,0.09748771163298746
2018,2017-09-23,west ham,tottenham,2,3,0.6,1.2,6,4.33,1.6,NA,NA,NA,5.95,4.36,1.61,6,4.33,1.6,0.16666666666666666,0.23094688221709006,0.625,1.0226135488837567,0.16298108591323987,0.22583984191211068,0.6111790721746495
2018,2017-09-23,southampton,man united,0,1,1,1.2,5.5,3.8,1.73,NA,NA,NA,5.35,3.82,1.75,5.5,3.8,1.73,0.18181818181818182,0.2631578947368421,0.5780346820809249,1.023010758635949,0.1777285138825056,0.2572386385141528,0.5650328476033415
2018,2017-09-23,stoke,chelsea,0,4,0.8,1.4,6,4.1,1.62,NA,NA,NA,5.69,4.25,1.64,6,4.1,1.62,0.16666666666666666,0.24390243902439027,0.6172839506172839,1.0278530563083408,0.16215028563058445,0.23729310092280653,0.600556613446609
2018,2017-09-23,man city,crystal palace,5,0,4.5,0.6,1.14,10,21,NA,NA,NA,1.15,10,18.5,1.14,10,21,0.8771929824561404,0.1,0.047619047619047616,1.024812030075188,0.8559550012227929,0.0975788701393984,0.04646612863780875
2018,2017-09-23,burnley,huddersfield,0,0,0.3,0.3,2.15,3.25,3.9,NA,NA,NA,2.21,3.23,3.89,2.15,3.25,3.9,0.46511627906976744,0.3076923076923077,0.25641025641025644,1.0292188431723315,0.45191193511008115,0.29895712630359217,0.24913093858632682
2018,2017-09-23,swansea,watford,1,2,1.7,1.2,2.4,3.3,3.25,NA,NA,NA,2.43,3.29,3.28,2.4,3.3,3.25,0.4166666666666667,0.30303030303030304,0.3076923076923077,1.0273892773892774,0.4055587067498582,0.2949517867271696,0.29948950652297224
2018,2017-09-23,everton,bournemouth,2,1,2,0.3,1.65,4,5.75,NA,NA,NA,1.72,3.92,5.43,1.65,4,5.75,0.6060606060606061,0.25,0.17391304347826086,1.029973649538867,0.5884234090182283,0.24272465622001918,0.16885193476175248
2018,2017-09-23,leicester,liverpool,2,3,2.8,1.7,4.1,3.9,1.91,NA,NA,NA,4.27,3.87,1.89,4.1,3.9,1.91,0.24390243902439027,0.25641025641025644,0.5235602094240838,1.0238729048587305,0.23821554205308604,0.25043172369683403,0.5113527342500799
2018,2017-09-24,brighton,newcastle,1,0,1,1.5,2.8,3.1,2.9,NA,NA,NA,2.78,3.1,2.96,2.8,3.1,2.9,0.35714285714285715,0.3225806451612903,0.3448275862068966,1.024551088511044,0.34858472276075997,0.3148507173322993,0.3365645599069407
2018,2017-09-25,arsenal,west brom,2,0,2.2,0.9,1.33,5.5,11,NA,NA,NA,1.36,5.45,10,1.33,5.5,11,0.7518796992481203,0.18181818181818182,0.09090909090909091,1.024606971975393,0.733822548365577,0.17745163442294865,0.08872581721147432
2018,2017-09-30,huddersfield,tottenham,0,4,0.2,1.5,8.5,4.75,1.36,NA,NA,NA,9.54,5,1.4,8.5,4.75,1.36,0.11764705882352941,0.21052631578947367,0.7352941176470588,1.0634674922600618,0.11062590975254732,0.19796215429403205,0.6914119359534208
2018,2017-09-30,stoke,southampton,2,1,2.4,1.4,2.88,3.2,2.45,NA,NA,NA,3.06,3.38,2.52,2.88,3.2,2.45,0.3472222222222222,0.3125,0.4081632653061224,1.0678854875283446,0.32514930325149305,0.29263437292634376,0.38221632382216325
2018,2017-09-30,west ham,swansea,1,0,0.7,0.2,1.8,3.5,4.5,NA,NA,NA,1.9,3.49,4.84,1.8,3.5,4.5,0.5555555555555556,0.2857142857142857,0.2222222222222222,1.0634920634920635,0.5223880597014926,0.26865671641791045,0.208955223880597
2018,2017-09-30,man united,crystal palace,4,0,2.8,0.4,1.17,7,15,NA,NA,NA,1.19,7.9,19,1.17,7,15,0.8547008547008548,0.14285714285714285,0.06666666666666667,1.0642246642246642,0.8031206975676917,0.13423588802202846,0.06264341441027994
2018,2017-09-30,bournemouth,leicester,0,0,1.4,0.6,2.8,3.25,2.5,NA,NA,NA,2.9,3.48,2.58,2.8,3.25,2.5,0.35714285714285715,0.3076923076923077,0.4,1.064835164835165,0.33539731682146534,0.2889576883384932,0.3756449948400412
2018,2017-09-30,west brom,watford,2,2,1.9,1.4,2.15,3.2,3.5,NA,NA,NA,2.33,3.13,3.69,2.15,3.2,3.5,0.46511627906976744,0.3125,0.2857142857142857,1.063330564784053,0.4374145674672916,0.29388791251708657,0.26869752001562197
2018,2017-09-30,chelsea,man city,0,1,0.5,0.9,2.75,3.3,2.5,NA,NA,NA,2.84,3.63,2.54,2.75,3.3,2.5,0.36363636363636365,0.30303030303030304,0.4,1.0666666666666669,0.34090909090909083,0.28409090909090906,0.37499999999999994
2018,2017-10-01,arsenal,brighton,2,0,2.4,0.4,1.2,6.5,13,NA,NA,NA,1.27,6.65,12.35,1.2,6.5,13,0.8333333333333334,0.15384615384615385,0.07692307692307693,1.064102564102564,0.783132530120482,0.14457831325301207,0.07228915662650603
2018,2017-10-01,everton,burnley,0,1,1.1,0.4,1.67,3.6,5.75,NA,NA,NA,1.68,3.81,6.2,1.67,3.6,5.75,0.5988023952095809,0.2777777777777778,0.17391304347826086,1.0504932164656196,0.5700202398490961,0.2644260557077751,0.16555370444312875
2018,2017-10-01,newcastle,liverpool,1,1,0.3,1.3,5,3.8,1.67,NA,NA,NA,5.09,4.17,1.71,5,3.8,1.67,0.2,0.2631578947368421,0.5988023952095809,1.0619602899464229,0.18833095916429252,0.24780389363722696,0.5638651471984806
2018,2017-10-14,liverpool,man united,0,0,1.5,0.2,2.8,3.25,2.8,NA,NA,NA,2.77,3.32,2.79,2.8,3.25,2.8,0.35714285714285715,0.3076923076923077,0.35714285714285715,1.0219780219780221,0.3494623655913978,0.30107526881720426,0.3494623655913978
2018,2017-10-14,tottenham,bournemouth,1,0,1.8,0.2,1.2,8,15,NA,NA,NA,1.21,7.92,14.37,1.2,8,15,0.8333333333333334,0.125,0.06666666666666667,1.0250000000000001,0.8130081300813008,0.1219512195121951,0.06504065040650406
2018,2017-10-14,burnley,west ham,1,1,1.2,0.9,2.75,3.25,2.8,NA,NA,NA,2.8,3.23,2.83,2.75,3.25,2.8,0.36363636363636365,0.3076923076923077,0.35714285714285715,1.0284715284715285,0.35356969402622634,0.29917435648373,0.34725594949004374
2018,2017-10-14,crystal palace,chelsea,2,1,1.7,0.8,9,5,1.4,NA,NA,NA,8.5,4.92,1.43,9,5,1.4,0.1111111111111111,0.2,0.7142857142857143,1.0253968253968253,0.10835913312693499,0.195046439628483,0.6965944272445821
2018,2017-10-14,swansea,huddersfield,2,0,1.5,0.7,2.2,3.25,3.75,NA,NA,NA,2.21,3.16,3.98,2.2,3.25,3.75,0.45454545454545453,0.3076923076923077,0.26666666666666666,1.028904428904429,0.44177616674218395,0.2990484821024015,0.25917535115541457
2018,2017-10-14,man city,stoke,7,2,3.8,0.5,1.14,9.5,21,NA,NA,NA,1.16,9,19.9,1.14,9.5,21,0.8771929824561404,0.10526315789473684,0.047619047619047616,1.0300751879699248,0.8515815085158152,0.10218978102189781,0.046228710462287104
2018,2017-10-14,watford,arsenal,2,1,1.6,1,5.25,4.33,1.65,NA,NA,NA,5.49,4.37,1.64,5.25,4.33,1.65,0.19047619047619047,0.23094688221709006,0.6060606060606061,1.0274836787538866,0.18538123224224495,0.22476939244152103,0.589849375316234
2018,2017-10-15,brighton,everton,1,1,1,1.5,3.25,3.3,2.4,NA,NA,NA,3.22,3.18,2.53,3.25,3.3,2.4,0.3076923076923077,0.30303030303030304,0.4166666666666667,1.0273892773892774,0.29948950652297224,0.2949517867271696,0.4055587067498582
2018,2017-10-15,southampton,newcastle,2,2,1.5,1.2,1.91,3.6,4.5,NA,NA,NA,1.87,3.58,4.85,1.91,3.6,4.5,0.5235602094240838,0.2777777777777778,0.2222222222222222,1.0235602094240837,0.5115089514066496,0.2713839158851947,0.21710713270815574
